match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition.competition_id,competition.country_name,competition.competition_name,season.season_id,season.season_name,home_team.home_team_id,home_team.home_team_name,home_team.home_team_gender,home_team.home_team_group,home_team.managers,home_team.country.id,home_team.country.name,away_team.away_team_id,away_team.away_team_name,away_team.away_team_gender,away_team.away_team_group,away_team.managers,away_team.country.id,away_team.country.name,metadata.data_version,metadata.shot_fidelity_version,metadata.xy_fidelity_version,competition_stage.id,competition_stage.name,stadium.id,stadium.name,stadium.country.id,stadium.country.name,referee.id,referee.name,referee.country.id,referee.country.name
3773369,2021-03-15,21:00:00.000,4,1,available,available,2021-03-16T12:45:17.775814,2021-07-27T01:28:10.084649,27,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,902,Huesca,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,2559,AdriÃ¡n Cordero Vega,214,Spain
3773387,2021-05-11,22:00:00.000,3,3,available,available,2021-05-13T00:20:44.739341,2021-07-27T01:16:02.992919,36,11,Spain,La Liga,90,2020/2021,221,Levante,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,350,Estadio Ciudad de Valencia,214,Spain,2609,JosÃ© Luis Munuera Montero,214,Spain
3773372,2021-05-08,16:15:00.000,0,0,available,available,2021-05-10T04:24:10.396826,2021-07-27T01:16:38.082497,35,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,212,AtlÃ©tico Madrid,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,180,Antonio Miguel Mateu Lahoz,214,Spain
3773695,2021-05-02,21:00:00.000,2,3,available,available,2021-05-07T13:24:24.423335,2021-07-27T01:18:50.218008,34,11,Spain,La Liga,90,2020/2021,207,Valencia,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,344,Estadio de Mestalla,214,Spain,2625,JosÃ© MarÃ­a SÃ¡nchez MartÃ­nez,214,Spain
3773586,2021-04-29,19:00:00.000,1,2,available,available,2021-07-06T16:43:21.218,2021-07-27T01:19:41.897076,33,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,1049,Granada,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,2493,Pablo GonzÃ¡lez Fuertes,214,Spain
3773457,2021-05-16,18:30:00.000,1,2,available,available,2021-06-20T20:33:31.040,2021-07-27T01:13:55.759882,37,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,209,Celta Vigo,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,NA,NA,NA,NA
3773377,2020-12-19,16:15:00.000,2,2,available,available,2020-12-20T07:18:59.839572,2021-07-27T01:48:16.309028,14,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,207,Valencia,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,2608,Alejandro JosÃ© HernÃ¡ndez HernÃ¡ndez,214,Spain
3773656,2020-11-21,21:00:00.000,1,0,available,available,2020-11-24T06:29:13.401420,2021-07-27T01:54:30.111784,10,11,Spain,La Liga,90,2020/2021,212,AtlÃ©tico Madrid,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,4654,Estadio Wanda Metropolitano,214,Spain,NA,NA,NA,NA
3773565,2021-01-09,18:30:00.000,0,4,available,available,2021-01-22T23:08:43.905455,2021-07-27T01:41:40.037499,18,11,Spain,La Liga,90,2020/2021,1049,Granada,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,4667,Estadio Nuevo Los CÃ¡rmenes,214,Spain,2602,Ricardo De Burgos Bengoetxea,214,Spain
3773386,2020-10-31,21:00:00.000,1,1,available,available,2020-11-01T22:50:14.134910,2021-07-27T01:55:48.686235,8,11,Spain,La Liga,90,2020/2021,206,Deportivo AlavÃ©s,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,348,Estadio de Mendizorroza,214,Spain,NA,NA,NA,NA
3773587,2020-10-17,21:00:00.000,1,0,available,available,2020-10-19T10:06:09.466199,2021-07-27T02:01:25.285432,6,11,Spain,La Liga,90,2020/2021,216,Getafe,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,354,Coliseum Alfonso PÃ©rez,214,Spain,2470,CÃ©sar Soto Grado,214,Spain
3773672,2020-10-04,21:00:00.000,1,1,available,available,2020-10-08T01:08:23.754604,2021-07-27T02:02:27.905844,5,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,213,Sevilla,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,183,JesÃºs Gil Manzano,214,Spain
3773585,2020-10-24,16:00:00.000,1,3,available,available,2020-10-27T07:32:53.297924,2021-07-27T01:59:12.344769,7,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,220,Real Madrid,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,2434,Juan MartÃ­nez Munuera,214,Spain
3773466,2020-10-01,21:30:00.000,0,3,available,available,2020-10-10T23:54:35.553376,2021-07-27T02:04:08.680985,4,11,Spain,La Liga,90,2020/2021,209,Celta Vigo,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,653,Abanca-BalaÃ­dos,214,Spain,2728,Carlos del Cerro Grande,214,Spain
3773552,2021-01-03,21:00:00.000,0,1,available,available,2021-05-09T12:03:31.185940,2021-07-27T01:43:26.727321,17,11,Spain,La Liga,90,2020/2021,902,Huesca,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,624,Estadio El Alcoraz,214,Spain,2402,Guillermo Cuadra FernÃ¡ndez,214,Spain
3773593,2020-09-27,21:00:00.000,4,0,available,available,2020-09-29T07:17:09.292323,2021-09-17T15:12:45.159882,3,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,222,Villarreal,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,2402,Guillermo Cuadra FernÃ¡ndez,214,Spain
3773660,2020-12-13,21:00:00.000,1,0,available,available,2020-12-14T19:50:12.485814,2021-07-27T01:49:38.419356,13,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,221,Levante,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,2602,Ricardo De Burgos Bengoetxea,214,Spain
3773661,2021-04-22,22:00:00.000,5,2,available,available,2021-04-23T20:17:32.331635,2021-07-27T01:22:29.079288,31,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,216,Getafe,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,866,Jorge Figueroa VÃ¡zquez,214,Spain
3773597,2021-03-21,21:00:00.000,1,6,available,available,2021-03-22T21:28:32.452567,2021-07-27T01:27:25.148596,28,11,Spain,La Liga,90,2020/2021,210,Real Sociedad,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,5043,Reale Arena,214,Spain,2609,JosÃ© Luis Munuera Montero,214,Spain
3773523,2020-12-16,21:00:00.000,2,1,available,available,2021-02-12T00:19:52.866831,2021-07-27T01:39:46.037203,19,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,210,Real Sociedad,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,2625,JosÃ© MarÃ­a SÃ¡nchez MartÃ­nez,214,Spain
3773571,2020-12-22,22:00:00.000,0,3,available,available,2020-12-23T12:38:49.833517,2021-07-27T01:47:23.053213,15,11,Spain,La Liga,90,2020/2021,901,Real Valladolid,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,622,Estadio Municipal JosÃ© Zorrilla,214,Spain,2692,Mario Melero LÃ³pez,214,Spain
3773497,2021-04-10,21:00:00.000,2,1,available,available,2021-04-25T19:46:09.138046,2021-07-27T01:24:31.046887,30,11,Spain,La Liga,90,2020/2021,220,Real Madrid,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,5341,Estadio Alfredo Di StÃ©fano,214,Spain,183,JesÃºs Gil Manzano,214,Spain
3773631,2021-02-07,21:00:00.000,2,3,available,available,2021-02-24T16:46:37.954522,2021-07-27T01:35:16.325565,22,11,Spain,La Liga,90,2020/2021,218,Real Betis,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,352,Estadio Benito VillamarÃ­n,214,Spain,NA,NA,NA,NA
3773665,2021-03-06,21:00:00.000,0,2,available,available,2021-03-13T21:42:56.642447,2021-07-27T01:30:06.073412,26,11,Spain,La Liga,90,2020/2021,422,Osasuna,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,4650,Estadio El Sadar,214,Spain,2402,Guillermo Cuadra FernÃ¡ndez,214,Spain
3773428,2020-12-05,21:00:00.000,2,1,available,processing,2021-01-16T01:16:03.286774,2021-08-11T14:53:47.347571,12,11,Spain,La Liga,90,2020/2021,552,CÃ¡diz,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,4662,Estadio Nuevo Mirandilla,214,Spain,2470,CÃ©sar Soto Grado,214,Spain
3764661,2021-01-06,21:00:00.000,2,3,available,available,2021-05-07T04:07:28.081860,2021-07-26T15:32:17.385768,2,11,Spain,La Liga,90,2020/2021,215,Athletic Club,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,345,San MamÃ©s Barria,214,Spain,2728,Carlos del Cerro Grande,214,Spain
3773526,2021-02-13,21:00:00.000,5,1,available,available,2021-02-14T16:59:10.494786,2021-07-27T01:33:28.078805,23,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,206,Deportivo AlavÃ©s,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,866,Jorge Figueroa VÃ¡zquez,214,Spain
3773474,2021-04-05,21:00:00.000,1,0,available,available,2021-04-12T07:10:50.227712,2021-07-27T01:25:11.305513,29,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,901,Real Valladolid,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,2575,Santiago Jaime Latre,214,Spain
3773625,2021-02-27,16:15:00.000,0,2,available,available,2021-11-28T09:47:02.505122,2021-07-27T01:31:49.552290,25,11,Spain,La Liga,90,2020/2021,213,Sevilla,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,349,Estadio RamÃ³n SÃ¡nchez PizjuÃ¡n,214,Spain,2608,Alejandro JosÃ© HernÃ¡ndez HernÃ¡ndez,214,Spain
3773403,2021-01-31,21:00:00.000,2,1,available,available,2021-05-28T13:27:02.231,2021-07-27T01:36:16.430,21,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,215,Athletic Club,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,180,Antonio Miguel Mateu Lahoz,214,Spain
3773547,2020-11-29,14:00:00.000,4,0,available,available,2020-11-30T09:14:36.663981,2021-07-27T01:50:06.574670,11,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,422,Osasuna,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,180,Antonio Miguel Mateu Lahoz,214,Spain
3773415,2021-02-21,14:00:00.000,1,1,available,available,2021-02-22T17:44:36.917392,2021-07-27T01:32:23.014608,24,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,552,CÃ¡diz,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,2434,Juan MartÃ­nez Munuera,214,Spain
3764440,2021-02-24,19:00:00.000,3,0,available,available,2021-02-25T05:32:07.474640,2021-07-26T15:28:42.810666,1,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,1042,Elche,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,2634,Isidro DÃ­az de Mera Escuderos,214,Spain
3773689,2021-04-25,16:15:00.000,1,2,available,available,2021-04-30T22:03:33.848837,2021-07-27T01:21:50.389449,32,11,Spain,La Liga,90,2020/2021,222,Villarreal,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,361,Estadio de la CerÃ¡mica,214,Spain,2728,Carlos del Cerro Grande,214,Spain
3773477,2020-11-07,16:15:00.000,5,2,available,available,2020-12-09T11:00:37.864371,2021-07-27T01:56:50.756651,9,11,Spain,La Liga,90,2020/2021,217,Barcelona,male,NA,,214,Spain,218,Real Betis,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,NA,NA,NA,NA
303731,2020-02-22,16:00:00.000,5,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,25,11,Spain,La Liga,42,2019/2020,217,Barcelona,male,NA,,214,Spain,322,Eibar,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,NA,NA,NA,NA
303532,2020-06-16,22:00:00.000,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,29,11,Spain,La Liga,42,2019/2020,217,Barcelona,male,NA,,214,Spain,205,LeganÃ©s,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,NA,NA,NA,NA
303516,2020-06-27,17:00:00.000,2,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,32,11,Spain,La Liga,42,2019/2020,209,Celta Vigo,male,NA,,214,Spain,217,Barcelona,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,653,Abanca-BalaÃ­dos,214,Spain,NA,NA,NA,NA
303596,2019-12-18,20:00:00.000,0,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,10,11,Spain,La Liga,42,2019/2020,217,Barcelona,male,NA,,214,Spain,220,Real Madrid,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,NA,NA,NA,NA
303430,2019-09-24,21:00:00.000,2,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,6,11,Spain,La Liga,42,2019/2020,217,Barcelona,male,NA,,214,Spain,222,Villarreal,male,NA,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,NA,NA,NA,NA
