id,index,period,timestamp,minute,second,possession,duration,related_events,location,under_pressure,off_camera,counterpress,out,type.id,type.name,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,tactics.formation,tactics.lineup,player.id,player.name,position.id,position.name,pass.length,pass.angle,pass.end_location,pass.switch,pass.aerial_won,pass.through_ball,pass.inswinging,pass.straight,pass.cross,pass.assisted_shot_id,pass.shot_assist,pass.outswinging,pass.cut_back,pass.deflected,pass.goal_assist,pass.recipient.id,pass.recipient.name,pass.height.id,pass.height.name,pass.body_part.id,pass.body_part.name,pass.type.id,pass.type.name,pass.outcome.id,pass.outcome.name,pass.technique.id,pass.technique.name,carry.end_location,ball_receipt.outcome.id,ball_receipt.outcome.name,duel.type.id,duel.type.name,duel.outcome.id,duel.outcome.name,foul_committed.penalty,foul_committed.advantage,foul_committed.offensive,foul_committed.type.id,foul_committed.type.name,shot.statsbomb_xg,shot.end_location,shot.freeze_frame,shot.key_pass_id,shot.first_time,shot.aerial_won,shot.technique.id,shot.technique.name,shot.body_part.id,shot.body_part.name,shot.type.id,shot.type.name,shot.outcome.id,shot.outcome.name,goalkeeper.end_location,goalkeeper.punched_out,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.type.id,goalkeeper.type.name,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.body_part.id,goalkeeper.body_part.name,clearance.head,clearance.aerial_won,clearance.right_foot,clearance.left_foot,clearance.other,clearance.body_part.id,clearance.body_part.name,foul_won.advantage,foul_won.defensive,interception.outcome.id,interception.outcome.name,ball_recovery.recovery_failure,dribble.overrun,dribble.nutmeg,dribble.outcome.id,dribble.outcome.name,50_50.outcome.id,50_50.outcome.name,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,block.deflection,block.offensive,match_id,competition_id,season_id,location.x,location.y,carry.end_location.x,carry.end_location.y,pass.end_location.x,pass.end_location.y,shot.end_location.x,shot.end_location.y,shot.end_location.z,shot_impact_height,player.name.GK,player.id.GK,location.x.GK,location.y.GK,DistToGoal,DistToKeeper,AngleToGoal,AngleToKeeper,AngleDeviation,avevelocity,DistSGK,density,density.incone,distance.ToD1,distance.ToD2,AttackersBehindBall,DefendersBehindBall,DefendersInCone,InCone.GK,DefArea,distance.ToD1.360,distance.ToD2.360,milliseconds,ElapsedTime,StartOfPossession,TimeInPoss,TimeToPossEnd
c4341845-358d-43e7-9af4-9a39aa1d90f1,1,1,00:00:00.000,0,0,1,0,,,NA,NA,NA,NA,35,Starting XI,38,Tottenham Hotspur,1,Regular Play,38,Tottenham Hotspur,4231,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22912,16,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
6001a7ed-2c00-4cb4-ba33-7ac2b7d07c40,2,1,00:00:00.000,0,0,1,0,,,NA,NA,NA,NA,35,Starting XI,38,Tottenham Hotspur,1,Regular Play,24,Liverpool,433,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22912,16,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
52cdf1be-4cbd-4026-b802-e5c3dce19e9c,3,1,00:00:00.000,0,0,1,0,,,NA,NA,NA,NA,18,Half Start,38,Tottenham Hotspur,1,Regular Play,24,Liverpool,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22912,16,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
97668e09-1ce7-4752-912c-b3a5a1bf6013,4,1,00:00:00.000,0,0,1,0,,,NA,NA,NA,NA,18,Half Start,38,Tottenham Hotspur,1,Regular Play,38,Tottenham Hotspur,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22912,16,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
68f1458f-6ddb-4626-82cb-6f96eaca8087,5,1,00:00:00.208,0,0,2,1.666205,,,NA,NA,NA,NA,30,Pass,24,Liverpool,9,From Kick Off,24,Liverpool,NA,,3532,Jordan Brian Henderson,13,Right Center Midfield,26.360956,3.0007687,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3502,Joël Andre Job Matip,1,Ground Pass,40,Right Foot,65,Kick Off,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22912,16,4,61,41,NA,NA,34.9,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,0.208,0.208,0,22.763
0c607c5b-7849-4da0-aa96-3a7d4475b700,6,1,00:00:01.875,0,1,2,NA,,,NA,NA,NA,NA,42,Ball Receipt*,24,Liverpool,9,From Kick Off,24,Liverpool,NA,,3502,Joël Andre Job Matip,3,Right Center Back,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22912,16,4,34.9,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875,1.875,0.208,1.667,21.096
fa083d31-a8b7-4f0a-9379-3233d6f01ab5,7,1,00:00:01.875,0,1,2,1.482954,,,NA,NA,NA,NA,43,Carry,24,Liverpool,9,From Kick Off,24,Liverpool,NA,,3502,Joël Andre Job Matip,3,Right Center Back,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22912,16,4,34.9,44.7,37,44.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875,1.875,0.208,1.667,21.096
4ce9fdce-4312-46e6-a9a8-f844fc4d8d1e,8,1,00:00:03.358,0,3,2,2.040173,,,NA,NA,NA,NA,30,Pass,24,Liverpool,9,From Kick Off,24,Liverpool,NA,,3502,Joël Andre Job Matip,3,Right Center Back,64.73407,-0.6759472,,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3629,Sadio Mané,3,High Pass,40,Right Foot,NA,NA,9,Incomplete,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22912,16,4,37,44.9,NA,NA,87.5,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,3.358,0.208,3.15,19.613
2b8b28a3-6309-42c8-8f9f-d085b5ab04fd,9,1,00:00:05.398,0,5,2,NA,,,NA,NA,NA,NA,42,Ball Receipt*,24,Liverpool,9,From Kick Off,24,Liverpool,NA,,3629,Sadio Mané,21,Left Wing,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22912,16,4,88.3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398,5.398,0.208,5.1899999999999995,17.573
97663e2f-a285-4714-b5f4-3e973e39c8c4,10,1,00:00:05.398,0,5,2,2.305768,,,NA,NA,NA,NA,30,Pass,24,Liverpool,9,From Kick Off,38,Tottenham Hotspur,NA,,3308,Kieran Trippier,2,Right Back,23.568836,-0.4712376,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10955,Harry Kane,3,High Pass,37,Head,66,Recovery,9,Incomplete,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22912,16,4,33.5,76.6,NA,NA,54.5,65.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398,5.398,0.208,5.1899999999999995,17.573
