ids,labels,parents,values,colours
Argentina,Argentina,,3166,lightgray
Australia,Australia,,1261,thistle
France,France,,18009,gainsboro
Italy,Italy,,11297,lavender
Spain,Spain,,3288,lightgreen
US,US,,47246,lightblue
Argentina-Mendoza Province,Mendoza Province,Argentina,2800,lightgray
Argentina-Other,Other,Argentina,366,lightgray
Australia-Australia Other,Australia Other,Australia,167,thistle
Australia-New South Wales,New South Wales,Australia,41,thistle
Australia-South Australia,South Australia,Australia,631,thistle
Australia-Tasmania,Tasmania,Australia,42,thistle
Australia-Victoria,Victoria,Australia,182,thistle
Australia-Western Australia,Western Australia,Australia,198,thistle
France-Alsace,Alsace,France,2087,gainsboro
France-Beaujolais,Beaujolais,France,1026,gainsboro
France-Bordeaux,Bordeaux,France,5729,gainsboro
France-Burgundy,Burgundy,France,3937,gainsboro
France-Champagne,Champagne,France,1589,gainsboro
France-France Other,France Other,France,401,gainsboro
France-Languedoc-Roussillon,Languedoc-Roussillon,France,354,gainsboro
France-Loire Valley,Loire Valley,France,1133,gainsboro
France-Provence,Provence,France,150,gainsboro
France-Rhône Valley,Rhône Valley,France,631,gainsboro
France-Southwest France,Southwest France,France,972,gainsboro
Italy-Central Italy,Central Italy,Italy,478,lavender
Italy-Italy Other,Italy Other,Italy,67,lavender
Italy-Lombardy,Lombardy,Italy,338,lavender
Italy-Northeastern Italy,Northeastern Italy,Italy,1077,lavender
Italy-Northwestern Italy,Northwestern Italy,Italy,2,lavender
Italy-Piedmont,Piedmont,Italy,2775,lavender
Italy-Sicily & Sardinia,Sicily & Sardinia,Italy,750,lavender
Italy-Southern Italy,Southern Italy,Italy,241,lavender
Italy-Tuscany,Tuscany,Italy,4772,lavender
Italy-Veneto,Veneto,Italy,797,lavender
Spain-Andalucia,Andalucia,Spain,12,lightgreen
Spain-Catalonia,Catalonia,Spain,981,lightgreen
Spain-Central Spain,Central Spain,Spain,326,lightgreen
Spain-Galicia,Galicia,Spain,38,lightgreen
Spain-Levante,Levante,Spain,193,lightgreen
Spain-Northern Spain,Northern Spain,Spain,1687,lightgreen
Spain-Spain Other,Spain Other,Spain,31,lightgreen
Spain-Spanish Islands,Spanish Islands,Spain,20,lightgreen
US-America,America,US,86,lightblue
US-Arizona,Arizona,US,30,lightblue
US-California,California,US,31548,lightblue
US-Colorado,Colorado,US,59,lightblue
US-Connecticut,Connecticut,US,3,lightblue
US-Hawaii,Hawaii,US,1,lightblue
US-Idaho,Idaho,US,144,lightblue
US-Illinois,Illinois,US,6,lightblue
US-Iowa,Iowa,US,1,lightblue
US-Kentucky,Kentucky,US,1,lightblue
US-Massachusetts,Massachusetts,US,4,lightblue
US-Michigan,Michigan,US,93,lightblue
US-Missouri,Missouri,US,9,lightblue
